"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_names","TF","sex"
1.66632219200996e-26,-1.70626879694329,0.23,0.849,2.64678616978862e-22,"Greb1",NA,NA
1.90813247698897e-25,-1.42600861709985,0.032,0.667,3.03087762644928e-21,"Zbtb16","Zbtb16",NA
4.16853036714305e-24,-1.47162102764521,0.476,0.897,6.62129363517002e-20,"St3gal5",NA,NA
8.16555317028774e-24,-1.31822412612394,0.714,0.968,1.2970164655685e-19,"Sox5","Sox5",NA
4.8518420165219e-23,-1.63930233494806,0.23,0.778,7.70666585904339e-19,"Slc25a30",NA,NA
1.20450098801247e-21,-0.834597755182445,1,1,1.913229369359e-17,"Malat1",NA,NA
3.82896378490253e-20,-1.50839655733734,0.698,0.913,6.08192607593918e-16,"Me1",NA,NA
7.92409526452809e-20,-2.18006701186293,0,0.508,1.25866329181764e-15,"Aldh1a1",NA,NA
1.5369203437777e-19,-0.899358584831324,0.992,1,2.4412442740565e-15,"Mast4",NA,NA
3.20037174808463e-19,-0.79090440127701,0,0.492,5.08347048465763e-15,"Eif2s3y",NA,"Eif2s3y"
3.51452763631623e-18,-1.10100331868348,0.024,0.516,5.58247569752471e-14,"Fkbp5",NA,NA
2.10680426631774e-17,-1.22867184383273,0.635,0.937,3.34644789661909e-13,"Raph1",NA,NA
1.61786876444621e-14,-1.42884329880387,0.405,0.802,2.56982274544636e-10,"Srd5a2",NA,NA
2.12229109214474e-14,-1.16992500144231,0.429,0.754,3.3710471707627e-10,"Trank1",NA,NA
6.12421970284186e-14,-1.05719540158154,0.063,0.476,9.72771057599401e-10,"Stard5",NA,NA
1.62699171001294e-13,-0.94675797872302,0.079,0.492,2.58431363218455e-09,"Ly6d",NA,NA
3.5169373754005e-13,-0.988270707417893,0.619,0.865,5.58630332708616e-09,"Nfx1",NA,NA
6.16024259697226e-13,-0.687324218350834,0.063,0.46,9.78492934103074e-09,"Synj2",NA,NA
6.04894861218113e-12,-1.0207585601668,0.659,0.857,9.60814997558851e-08,"Tspan5",NA,NA
7.63616938792371e-12,-1.21715196864057,0.405,0.746,1.2129291455778e-07,"Acvr1",NA,NA
2.1138172252398e-11,-0.661198086548242,0.016,0.341,3.35758728057089e-07,"Tgfbi",NA,NA
2.49672684720479e-11,-0.774440299584869,0.175,0.556,3.96580092410009e-07,"Pgm3",NA,NA
2.68676650684352e-11,-0.440572591385981,0,0.302,4.26765991947025e-07,"Kdm5d","Kdm5d","Kdm5d"
3.24516775468747e-11,-0.726172314092204,0.865,0.96,5.15462446154557e-07,"Gria3",NA,"Gria3"
4.15797121288954e-11,-0.835255237663368,0.087,0.444,6.60452147455374e-07,"Btg2",NA,NA
4.37294932033275e-11,-0.592342031086754,0.024,0.349,6.94599270041654e-07,"Kcnd3",NA,NA
6.26171529797134e-11,-1.06140054466414,0.341,0.659,9.94610857929768e-07,"Runx2","Runx2",NA
1.22930542942812e-10,-0.679289883269309,0.151,0.524,1.95262874410362e-06,"Myo7a",NA,NA
1.7606532082222e-10,-0.836073739179131,0.071,0.405,2.79662155594014e-06,"Errfi1",NA,NA
2.77671797762042e-10,-0.531381460516312,0.016,0.31,4.41053883565227e-06,"Htra3",NA,NA
3.30677056562154e-10,-0.657348426102838,0.159,0.516,5.25247436643325e-06,"Pfkfb2",NA,NA
3.69812330991498e-10,-1.02324894603104,0.294,0.683,5.87409906546895e-06,"Meg3",NA,NA
4.20057569113671e-10,-0.733285247678257,0.897,0.96,6.67219442780156e-06,"Magi1",NA,NA
5.42057635118212e-10,-0.599912842187128,0.016,0.302,8.61004347621767e-06,"Sema5b",NA,NA
9.94538771659039e-10,-0.727920454563199,0.016,0.294,1.57972538490322e-05,"Gm47015",NA,NA
1.07767462709575e-09,-0.764175067183011,0.976,0.976,1.71177837767888e-05,"Cyp11a1",NA,NA
1.58717096836501e-09,-1.07009189565843,0.452,0.722,2.52106236615098e-05,"Magi2",NA,NA
2.22768388827881e-09,-0.743738822761632,0.595,0.81,3.53845308814206e-05,"Supt3",NA,NA
3.23449247267454e-09,-0.490325626583081,0,0.246,5.13766784359624e-05,"Nt5e",NA,NA
3.65187641178795e-09,-0.766432503106875,0.833,0.897,5.80064049248398e-05,"Diaph2",NA,"Diaph2"
4.58831120008578e-09,-0.406625259462644,0.024,0.294,7.28807351021625e-05,"Sulf2",NA,NA
4.71820785625703e-09,-1.09629366085876,0.508,0.81,7.49440135887866e-05,"Pde10a",NA,NA
5.71945258524131e-09,-0.89155327254169,0.119,0.437,9.08477848639729e-05,"Rbbp7",NA,"Rbbp7"
7.59677618833655e-09,-0.584962500721156,0.016,0.27,0.000120667192975538,"Stxbp5l",NA,NA
7.61231579986374e-09,-0.721283971933937,0.333,0.651,0.000120914024165036,"Fth1",NA,NA
7.72394032642789e-09,-0.445237737054543,0.032,0.302,0.000122687068144981,"Mpzl1",NA,NA
1.03776513620622e-08,-0.727127401840954,0.397,0.683,0.000164838614234996,"Optn",NA,NA
1.26325892475985e-08,-1,0.151,0.476,0.000200656047608855,"Smarca1","Smarca1","Smarca1"
1.60953745474834e-08,-0.708294053526901,0.905,0.952,0.000255658929312227,"Fdx1",NA,NA
2.32535202495029e-08,-0.696470815938147,0.548,0.786,0.000369358915643104,"Zmiz1","Zmiz1",NA
2.84927850233198e-08,-0.537894247064377,0.071,0.349,0.000452579397310412,"Grb14",NA,NA
3.98296479629909e-08,-0.666873698507774,0.397,0.683,0.000632654128244147,"Neo1",NA,NA
4.17994136483022e-08,-0.308122295362332,0,0.214,0.000663941886389633,"Vmn2r11",NA,NA
6.47034946694101e-08,-0.657607802552922,0.675,0.833,0.00102775030932891,"Pard3b",NA,NA
6.63669595054221e-08,-0.570315724756755,0.23,0.556,0.00105417278478412,"Hivep3","Hivep3",NA
8.35470268400716e-08,-2.83268310200363,0.889,0.794,0.0013270609743277,"Abcb1b",NA,NA
9.02546278911897e-08,-0.526519020764981,0.913,0.96,0.00143360450942366,"Msi2","Msi2",NA
