"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_names","TF","sex"
3.65755036082253e-83,1.94382196229437,0.884,0.081,5.80965299313051e-79,"Pdzrn3",NA,NA
2.81163233121228e-81,2.31934801364968,0.979,0.203,4.46599679489758e-77,"Adh1",NA,NA
4.81004820661871e-71,1.54433236209672,0.692,0.019,7.64028057139316e-67,"Prr16",NA,NA
3.99510976093816e-68,2.0522565046465,0.959,0.294,6.34583234427418e-64,"Pde7a",NA,NA
2.72848112937462e-65,1.94328117396403,1,0.924,4.33391942589865e-61,"Dlg2",NA,NA
7.64670401892836e-65,2.02663251842655,1,0.931,1.21460246636658e-60,"Rapgef4",NA,NA
1.66543201538576e-57,1.41816062699278,1,0.957,2.64537221323874e-53,"Ptprd",NA,NA
1.16352822386269e-54,1.4960355176891,0.822,0.174,1.84814823078349e-50,"Sntb1",NA,NA
1.0019327413609e-50,1.43614845590155,0.979,0.516,1.59146996637765e-46,"A530020G20Rik",NA,NA
1.01560209894848e-49,1.60505780722507,1,0.924,1.61318237396977e-45,"Hsd3b1",NA,NA
4.46717940876829e-48,1.31484534424081,0.959,0.449,7.09566777288755e-44,"Cdk8",NA,NA
1.13609632065724e-44,0.927665586768297,0.507,0.026,1.80457539573195e-40,"Ror1",NA,NA
1.72441661166818e-44,1.40720551911829,0.979,0.587,2.73906334597374e-40,"Prlr",NA,NA
1.88337413151115e-43,1.05334395488725,1,0.979,2.99155147049231e-39,"Cacna1c",NA,NA
1.91834971536697e-43,0.895281462539333,1,1,3.0471066878889e-39,"Plcb1",NA,NA
4.52054159136467e-41,1.29276821475417,0.925,0.496,7.18042826372364e-37,"Psd3",NA,NA
1.17647575433436e-37,1.47404265186078,0.815,0.296,1.86871408818469e-33,"Dab2","Dab2",NA
4.05009417463493e-37,0.701752852473439,0.418,0.019,6.43316958699013e-33,"Fat4",NA,NA
1.47862720105789e-36,1.21657564852438,0.884,0.37,2.34865144616035e-32,"Mid1",NA,"Mid1"
2.95228173881445e-36,0.944870291680444,0.993,0.902,4.68940431393287e-32,"Dock1",NA,NA
6.78837396067849e-36,0.697334829680133,0.37,0.007,1.07826531991417e-31,"C1qtnf7",NA,NA
3.91193240509179e-35,0.98738387630782,1,0.967,6.21371343224779e-31,"Frmd5",NA,NA
3.8882455467331e-34,0.687989392879352,0.466,0.045,6.17608922643085e-30,"Pkdcc",NA,NA
1.28372460524286e-33,1.41004988397143,0.705,0.208,2.03906816296776e-29,"Gabrg3",NA,NA
1.80629184448466e-31,1.38572204520886,0.596,0.138,2.86911396577943e-27,"Il1rapl2",NA,"Il1rapl2"
1.93769032080305e-31,0.769458868212647,1,0.995,3.07782730556357e-27,"Rora","Rora",NA
1.35507734798771e-30,1.20021303675681,0.781,0.351,2.15240485954368e-26,"Gm49708",NA,NA
2.32698681727024e-30,0.746863282235662,0.568,0.122,3.69618586055205e-26,"Zfp933","Zfp933",NA
3.11637920057468e-30,0.631263929834245,0.356,0.019,4.95005672219282e-26,"Gm19689",NA,NA
1.52467051985689e-29,0.558192953916407,0.301,0.005,2.42178665374068e-25,"Lama4",NA,NA
8.30747920051915e-28,0.826702679754678,0.705,0.243,1.31955999621046e-23,"Dnajc15",NA,NA
1.22258781716646e-27,0.91140407484393,0.897,0.53,1.9419584887872e-23,"Limch1",NA,NA
1.8695679091075e-27,0.631540249967033,0.438,0.06,2.96962166682635e-23,"Gm31084",NA,NA
2.30313006304984e-27,0.711277923682299,0.473,0.081,3.65829179214837e-23,"AC106834.1",NA,NA
5.8002079208172e-27,1.10718647207945,0.842,0.499,9.21305026142605e-23,"Cyb5b",NA,NA
7.06232212864529e-26,0.897863231672201,0.753,0.315,1.12177924691402e-21,"Rtn4",NA,NA
1.04179102730041e-25,0.806491313408947,0.993,0.766,1.65478086776398e-21,"Kcnn2",NA,NA
1.1170046106834e-25,0.824849998161706,0.925,0.578,1.7742501236095e-21,"Aebp1",NA,NA
1.50976860967423e-25,0.958845178947329,0.637,0.229,2.39811645960654e-21,"Mc2r",NA,NA
1.94284914717121e-25,0.58210853338092,0.377,0.043,3.08602158536676e-21,"Xdh",NA,NA
4.90874843971628e-25,0.667300263309313,1,0.971,7.79705602164533e-21,"Nckap5",NA,NA
9.1669404262729e-25,0.962293068307287,0.897,0.578,1.45607681730919e-20,"Cttnbp2",NA,NA
1.25631840114581e-24,0.584665165277598,0.247,0.002,1.99553614838e-20,"Akr1d1",NA,NA
1.87421721057856e-24,0.811442477126072,1,0.967,2.97700661728299e-20,"Cacnb2",NA,NA
2.11439361723794e-24,0.469390142382062,0.288,0.014,3.35850282162075e-20,"Cd36",NA,NA
6.10321522773954e-24,0.757604649822333,0.979,0.838,9.69434706774149e-20,"Utrn",NA,NA
1.16264651026278e-23,0.664522178896363,1,0.988,1.8467477169014e-19,"Cacna2d1",NA,NA
4.20414858259197e-23,0.940231625385092,0.514,0.129,6.67786960858908e-19,"Dab1",NA,NA
4.7902430579655e-23,0.967278091267498,0.753,0.358,7.60882207327241e-19,"Filip1",NA,NA
8.01688447818579e-23,0.730577021691668,0.644,0.229,1.27340193051503e-18,"Tmem131l",NA,NA
1.09115581771576e-22,0.650359213299485,0.336,0.038,1.73319190085971e-18,"Ptn",NA,NA
1.60702162079816e-22,0.908877375908838,0.849,0.446,2.5525931424758e-18,"Dlc1",NA,NA
3.26218152453977e-22,0.410482333553784,0.322,0.033,5.18164913357898e-18,"Gm38405",NA,NA
5.48985623229864e-22,0.772413969107136,0.616,0.215,8.72008763938316e-18,"Greb1l",NA,NA
5.75096247566199e-22,0.636459092239271,0.966,0.84,9.13482879634151e-18,"Rsrp1",NA,NA
6.15478045169271e-22,0.682262781852395,0.445,0.095,9.77625326946871e-18,"Cdh2",NA,NA
1.02733374133377e-21,0.775687920893982,0.712,0.286,1.63181691473456e-17,"Plpp3",NA,NA
1.63318158112018e-21,0.563867687672511,0.445,0.098,2.59414562345129e-17,"Gm16093",NA,NA
2.03591323636804e-21,0.590341074112243,0.425,0.084,3.23384458464699e-17,"Adam23",NA,NA
5.56627946679624e-21,0.895524595870118,0.596,0.21,8.84147830505914e-17,"Pip5k1b",NA,NA
1.39587266135514e-20,0.916352340642102,0.473,0.117,2.21720413529651e-16,"Frmpd4",NA,"Frmpd4"
1.47162026521051e-20,0.558619532182699,0.39,0.074,2.33752162926038e-16,"Lipa",NA,NA
2.55964894042151e-20,0.574531343096068,0.473,0.119,4.06574637696552e-16,"Tmem53",NA,NA
1.78022492440167e-19,0.73038967086472,0.993,0.95,2.82770926991962e-15,"Auts2",NA,NA
2.33526610280831e-19,0.611453465942012,0.466,0.129,3.70933667770072e-15,"Napepld",NA,NA
4.70945288527671e-19,0.539438779526895,0.39,0.081,7.48049496297353e-15,"Tenm3",NA,NA
5.16483357867295e-19,0.72701872012984,0.781,0.468,8.20382165636411e-15,"4930426D05Rik",NA,NA
1.00953084832805e-18,0.26960705975728,0.178,0,1.60353879948428e-14,"Elfn1",NA,NA
2.21434160096746e-18,0.28246978811961,0.185,0.002,3.51726019897671e-14,"Cyp2f2",NA,NA
2.32344175657128e-18,0.650492607815739,0.603,0.232,3.69055488613782e-14,"Etv1","Etv1",NA
1.00991074863346e-17,0.511723906958238,0.425,0.11,1.60414223312938e-13,"Mgst1",NA,NA
1.42983823170889e-17,0.570990653756586,1,0.998,2.2711550472464e-13,"Gramd1b",NA,NA
1.43832944870318e-17,0.422896875137145,0.219,0.014,2.28464249632013e-13,"Kitl",NA,NA
2.13876655097571e-17,0.733096816959955,0.705,0.348,3.39721678956982e-13,"Mapt",NA,NA
2.3574815790461e-17,0.68144654701258,0.384,0.091,3.74462374015683e-13,"Ackr3",NA,NA
3.16173055920136e-17,0.524234852614422,0.301,0.048,5.02209282023544e-13,"Sulf1",NA,NA
8.71534953718328e-17,0.55945602263397,0.445,0.134,1.38434612048619e-12,"Wasf3",NA,NA
1.10112996708787e-16,0.716161109466166,0.76,0.406,1.74903483972238e-12,"Gulp1",NA,NA
1.23165593670785e-16,0.639748148564661,0.952,0.802,1.95636228986675e-12,"Lpp",NA,NA
1.30010028245167e-16,0.76762184240246,0.856,0.568,2.06507928864623e-12,"Pdgfd",NA,NA
2.05266091372706e-16,0.555445284387556,0.342,0.074,3.26044659536405e-12,"Rnf150",NA,NA
2.12004111368202e-16,0.597138145929619,0.555,0.215,3.36747330497251e-12,"Boc",NA,NA
2.32794006267951e-16,0.479161699124707,0.349,0.076,3.69769999556014e-12,"Tmtc2",NA,NA
7.41866770005267e-16,0.611265235132052,0.486,0.167,1.17838117747637e-11,"Timp3",NA,NA
7.54118596171692e-16,0.396023604388513,0.356,0.079,1.19784197815912e-11,"Fgf9",NA,NA
1.53728326072033e-15,0.433941306377773,0.205,0.017,2.44182073132817e-11,"Egfem1",NA,NA
1.87324312617197e-15,0.576231735384797,0.747,0.437,2.97545938161155e-11,"Snhg20",NA,NA
3.34477783254783e-15,0.724300454276182,0.603,0.243,5.31284510921897e-11,"Kcnd2",NA,NA
4.42381492653857e-15,0.787325757865898,0.89,0.683,7.02678762931387e-11,"Stk39",NA,NA
5.4433149891541e-15,0.529664117919135,0.452,0.148,8.64616152877238e-11,"Col4a5",NA,"Col4a5"
5.93149124583842e-15,0.434297816336024,0.37,0.095,9.42158069488974e-11,"Samd5",NA,NA
