"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_names","TF","sex"
1.91892571879704e-12,-0.549523104604523,0.938,0.969,3.04802161173722e-08,"Fgfr2",NA,NA
2.92016884931334e-12,-0.548559058433743,0.089,0.403,4.63839620024931e-08,"Mpc2",NA,NA
3.40020995597798e-12,-0.554569158187843,0.836,0.936,5.40089349407543e-08,"Pard3b",NA,NA
5.74643360927943e-12,-0.518026505566075,0.932,0.981,9.12763514497945e-08,"Rabep1",NA,NA
5.97021745163762e-12,-0.576835281505281,0.247,0.563,9.4830934001812e-08,"Pde5a",NA,NA
8.90410901140846e-12,-0.537911814234234,0.021,0.296,1.41432867537212e-07,"Cacnb4",NA,NA
9.14654647532138e-12,-0.633762868775158,0.527,0.759,1.45283744214005e-07,"Mapkapk2",NA,NA
1.53695950700663e-11,-0.674525883553475,0.445,0.687,2.44130648092933e-07,"Pim1",NA,NA
2.80652099545075e-11,-0.55177446761598,0.158,0.463,4.45787794917397e-07,"Fnbp1l",NA,NA
3.0136630706687e-11,-0.585678233164961,0.63,0.804,4.78690242145016e-07,"Ccnl1",NA,NA
3.9505965536799e-11,-0.462742585467835,0.055,0.337,6.27512756586516e-07,"Lpin1",NA,NA
3.96275692010205e-11,-0.48598207293043,0.062,0.339,6.2944430918901e-07,"Tpm4",NA,NA
4.1371201081477e-11,-0.610262658458918,0.103,0.401,6.5714015797818e-07,"Emd",NA,"Emd"
5.0289900651604e-11,-0.528361460510852,0.281,0.573,7.98804781950078e-07,"Pde8a",NA,NA
5.52831023565644e-11,-0.666853324480745,0.13,0.415,8.78116797831669e-07,"Bcl2l11",NA,NA
5.69175615222968e-11,-0.565226267084588,0.247,0.561,9.04078547220163e-07,"Dgke",NA,NA
7.03460161499154e-11,-0.773390497547466,0.007,0.255,1.11737612052526e-06,"Aldh1a1",NA,NA
1.30304995809527e-10,-0.520468568674169,0.329,0.64,2.06976455343852e-06,"Sh3bp5",NA,NA
1.4212804832173e-10,-0.455249959247716,0.048,0.31,2.25756191954235e-06,"Gm14858",NA,"Gm14858"
1.61395520024969e-10,-0.523951872389393,0.945,0.964,2.56360644007661e-06,"Iqgap2",NA,NA
1.65841255837447e-10,-0.781096444209006,0.089,0.363,2.634222507722e-06,"Smarca1","Smarca1","Smarca1"
1.81894717614942e-10,-0.523412244539119,0.247,0.542,2.88921569459574e-06,"Dnm3",NA,NA
2.01204764216228e-10,-0.562177622327873,0.589,0.804,3.19593647481056e-06,"Man2a1",NA,NA
2.47587415439214e-10,-0.464615060053692,0.021,0.267,3.93267850683647e-06,"Skap1",NA,NA
2.59040761562288e-10,-0.52441002799468,0.808,0.9,4.11460345665539e-06,"Ccbe1",NA,NA
3.46269064977768e-10,-0.501809990053908,0.075,0.337,5.50013782810687e-06,"Plk3",NA,NA
4.49872168645588e-10,-0.575438742962558,0.144,0.418,7.14576952676653e-06,"Grb14",NA,NA
4.64617309129991e-10,-0.59719955152898,0.089,0.358,7.37998133822078e-06,"Kcnk9",NA,NA
5.17509248843839e-10,-0.479018125180665,0.123,0.396,8.22011690863554e-06,"Flnb",NA,NA
5.74938862413573e-10,-0.390481450579008,0.007,0.234,9.1323288905772e-06,"Egr1","Egr1",NA
6.90213513371461e-10,-0.55536901131078,0.507,0.728,1.09633514463923e-05,"Tbc1d9b",NA,NA
6.98296660365103e-10,-0.581332220468301,0.747,0.883,1.10917441532393e-05,"Klhl29",NA,NA
7.40209883874315e-10,-0.46362467105729,0.308,0.601,1.17574937954596e-05,"Gm13483",NA,NA
9.94269317790223e-10,-0.522131231543656,0.425,0.68,1.57929738437799e-05,"Foxn3","Foxn3",NA
1.88302636800605e-09,-0.532533634507667,0.137,0.399,2.99099908294081e-05,"Etnk2",NA,NA
2.0431265350474e-09,-0.507512041005961,0.233,0.506,3.24530218826928e-05,"Chn2",NA,NA
5.71636192026546e-09,-0.537911814234234,0.116,0.372,9.07986927414966e-05,"Osgin1",NA,NA
5.80615612350648e-09,-0.446351936260344,0.281,0.549,9.2224983865777e-05,"Hivep3","Hivep3",NA
6.02947508723599e-09,-0.519702561238017,0.473,0.675,9.57721822856564e-05,"Zmiz1","Zmiz1",NA
6.11428361775248e-09,-0.565133282969258,0.418,0.666,9.71192809843804e-05,"Zc3h12c",NA,NA
6.32717730944636e-09,-0.544188564121946,0.247,0.525,0.000100500884383246,"Ell2",NA,NA
7.14723077981716e-09,-0.640204789545278,0.178,0.427,0.000113526613706616,"Rbfox1",NA,NA
8.00094314767096e-09,-0.557891146495075,0.301,0.563,0.000127086980957606,"B4galt5",NA,NA
8.22459074252717e-09,-0.356228326685544,1,1,0.000130639399354302,"Malat1",NA,NA
8.30407478257069e-09,-0.50391230433151,0.075,0.31,0.000131901923846353,"Id3",NA,NA
1.44358165054687e-08,-0.329194329794863,0.007,0.203,0.000229298509372865,"Fos","Fos",NA
1.98685018761227e-08,-0.446492221659218,0.075,0.301,0.000315591283800334,"Irs2",NA,NA
2.47961630835479e-08,-0.48840808421091,0.534,0.721,0.000393862254419075,"Mgarp",NA,NA
2.71131429807852e-08,-0.300420821723903,0,0.184,0.000430665163106793,"Acan",NA,NA
2.87755958335262e-08,-0.595831790163415,0.658,0.814,0.00045707156421973,"Abca1",NA,NA
3.43242337795021e-08,-0.427004739921557,0.767,0.842,0.000545206129353611,"Macf1",NA,NA
4.55446768214647e-08,-0.410045983101546,0.74,0.89,0.000723431646632145,"Prkn",NA,NA
5.30903775167942e-08,-0.49891768261837,0.26,0.511,0.000843287556476759,"Jun","Jun",NA
5.85107375220944e-08,-0.427004739921557,0.61,0.819,0.000929384554800948,"9530026P05Rik",NA,NA
6.36278633188067e-08,-0.507215017011318,0.205,0.449,0.00101066498095593,"Aff2",NA,"Aff2"
6.378017890309e-08,-0.332015712793982,0.075,0.298,0.00101308436169668,"Itpk1",NA,NA
8.20862873083986e-08,-0.515729903537187,0.274,0.492,0.0013038585876066,"Sppl2a",NA,NA
8.24746139009356e-08,-0.330725805519876,0.034,0.232,0.00131002676720246,"Pdgfrl",NA,NA
8.84945081112121e-08,-0.470683641915142,0.377,0.589,0.00140564676683849,"Rdx",NA,NA
9.43582231385016e-08,-0.635043435259648,0.26,0.489,0.00149878601633196,"Mrap",NA,NA
9.60613213630568e-08,-0.472354394899655,0.322,0.57,0.00152583802853079,"Maml3",NA,NA
1.27091692397436e-07,-0.410846622539086,0.253,0.496,0.00201872444204088,"Cpt1a",NA,NA
1.39443860856033e-07,-0.366991507446554,0.151,0.387,0.00221492628583723,"Ostf1",NA,NA
1.68614328531381e-07,-0.416140922208599,0.13,0.358,0.00267826999439245,"Synj2",NA,NA
1.75953304644353e-07,-0.360030088963579,0.205,0.442,0.0027948422909709,"Myo7a",NA,NA
1.8858014496148e-07,-0.419564274970423,0.096,0.308,0.00299540702256816,"Gm15958",NA,NA
1.89630254091044e-07,-0.455018805885889,0.288,0.516,0.00301208695598214,"Lmln",NA,NA
2.00408174579382e-07,-0.512441126718116,0.411,0.642,0.00318328344501891,"Chp1",NA,NA
2.01272121574208e-07,-0.362321900471568,0.014,0.189,0.00319700637908471,"Procr",NA,NA
2.22844516371465e-07,-0.485331899112868,0.164,0.382,0.00353966229804435,"Nmrk1",NA,NA
2.56557212564204e-07,-0.360892024318558,0.062,0.265,0.00407515476436981,"Wipf3",NA,NA
2.57682076185591e-07,-0.338343037537128,0.014,0.186,0.00409302209813192,"Rab11fip1",NA,NA
2.65577677762478e-07,-0.323482105259153,0.075,0.284,0.00421843583357921,"Atp8a1",NA,NA
3.00415113612041e-07,-0.42655070528653,0.774,0.85,0.00477179366461367,"Ndfip1",NA,NA
3.33757176648256e-07,-0.337145862416983,0.61,0.778,0.0053013989938809,"Chka",NA,NA
3.37761463921119e-07,-0.506498861602773,0.658,0.773,0.00536500309292305,"Hacd3",NA,NA
3.55145830769867e-07,-0.26073712025142,0,0.158,0.00564113637594857,"Scn3a",NA,NA
3.58903669845024e-07,-0.397106927394048,0.048,0.239,0.00570082589181836,"Glul",NA,NA
4.03082173410241e-07,-0.398313741679965,0.281,0.501,0.00640255724244827,"Supt5",NA,NA
4.63320493434936e-07,-0.42655070528653,0.301,0.535,0.00735938271772053,"Colec12",NA,NA
4.81908240794926e-07,-0.325046825371836,0.11,0.32,0.0076546304967866,"Acacb",NA,NA
4.84539853099512e-07,-0.337320040127354,0.055,0.246,0.00769643102663265,"Cables1",NA,NA
5.02262292684148e-07,-0.323739899702755,0.007,0.167,0.007977934256995,"Ass1",NA,NA
5.07449012095042e-07,-0.442323325199983,0.37,0.587,0.00806032010811764,"Sec14l1",NA,NA
5.39180683383797e-07,-0.314754848608092,0.034,0.212,0.00856434597486823,"Slc38a11",NA,NA
5.78187930410171e-07,-0.509811278726269,0.267,0.477,0.00918393708663516,"Prdx2",NA,NA
6.26971058803835e-07,-0.364749556659885,0.171,0.391,0.00995880829804012,"Midn",NA,NA
6.47211882329034e-07,-0.368067408028997,0.199,0.418,0.0102803135389144,"Ppfibp1",NA,NA
6.49393722135432e-07,-0.283658662541234,0.041,0.222,0.0103149698823992,"Synpo",NA,NA
7.34925600999578e-07,-0.385371304116593,0.199,0.415,0.0116735582462773,"Pim3",NA,NA
7.54236792733336e-07,-0.39696390929818,0.336,0.542,0.0119802972157763,"Dop1a",NA,NA
7.90595140688035e-07,-0.348124058329714,0.007,0.162,0.0125578132146887,"Nt5e",NA,NA
8.01544082747003e-07,-0.481995824980561,0.411,0.613,0.0127317262103534,"Acsbg1",NA,NA
9.08900968064627e-07,-0.431565608566427,0.938,0.957,0.0144369829767385,"Alas1",NA,NA
1.02699771101226e-06,-0.272567247713239,0.027,0.196,0.0163128316417187,"Man1c1",NA,NA
1.1785100428801e-06,-0.267741341352096,0.089,0.294,0.0187194535211075,"Psat1",NA,NA
1.19358775170061e-06,-0.445465565469639,0.555,0.687,0.0189589478480125,"Agap1",NA,NA
1.29903744940246e-06,-0.28637304723827,0.048,0.227,0.0206339108463087,"Rras2",NA,NA
1.37039475887219e-06,-0.263289434125229,0.034,0.208,0.0217673503499258,"Rasgef1b",NA,NA
1.40268158382151e-06,-0.434114900617613,0.048,0.224,0.0222801942774208,"Gm7247",NA,NA
1.41476789952829e-06,-0.484210794400988,0.336,0.535,0.0224721733161073,"Lamb1",NA,NA
1.43948721869467e-06,-0.327900392328538,0.199,0.418,0.0228648149817462,"Per1",NA,NA
1.49087251589437e-06,-0.306438670292375,0.041,0.215,0.0236810190424662,"Id1","Id1",NA
1.50472522756131e-06,-0.383034825335074,0.486,0.668,0.0239010555145839,"Zbtb38","Zbtb38",NA
1.67083558768015e-06,-0.461481644155146,0.527,0.685,0.0265395524747115,"Bcar3",NA,NA
1.91902581229071e-06,-0.361661174542507,0.096,0.284,0.0304818060024256,"Siah2",NA,NA
2.01376820438288e-06,-0.301748273125186,0.089,0.279,0.0319866941584176,"Rab43",NA,NA
2.1702373941521e-06,-0.368219486776925,0.212,0.427,0.034472050768712,"Irf2bp2",NA,NA
2.21549962450719e-06,-0.519307846206383,0.507,0.671,0.0351909960356723,"Jmy",NA,NA
2.24339835780053e-06,-0.431853017101986,0.116,0.313,0.0356341395153036,"Sdk1",NA,NA
2.27758659495763e-06,-0.309093123738353,0.034,0.2,0.0361771854743069,"Unc13c",NA,NA
2.29592623884039e-06,-0.369916688021283,0.507,0.69,0.0364684923777408,"Srsf10",NA,NA
2.32304995715099e-06,-0.384675120850074,0.63,0.795,0.0368993255193864,"Aff4","Aff4",NA
2.54987107185621e-06,-0.350342402525343,0.13,0.329,0.040502152105364,"Yod1","Yod1",NA
2.87365181902097e-06,-0.42655070528653,0.377,0.58,0.0456450854933291,"Homer1",NA,NA
3.13096481813487e-06,-0.329468297305814,0.87,0.907,0.0497322451712543,"Mycbp2",NA,NA
